name,id,group,Sales,Attendance ,Screen,Nomal_Attendance,Happy,Surprise,Boring,Sad,Anger,Disgust,Fear
Quick,561,comedy,22960890000,3125069,512,6103.650391,0.56,0.17,0.06,0.08,0.04,0.03,0.05
The Crazies,562,horror,1123006998,146377,196,746.8214286,0.11,0.12,0.08,0.09,0.06,0.05,0.48
Crossing,563,drama,5657365667,907255,303,2994.240924,0.12,0.25,0.05,0.5,0.04,0.02,0.01
Crows Zero,564,thriller,142006500,22097,252,87.68650794,0.44,0.14,0.08,0.08,0.15,0.1,0.02
The Croods,565,family,6540060500,941615,525,1793.552381,0.4,0.36,0.06,0.11,0.03,0.01,0.02
Cloud Atlas,566,sf,3412002227,452755,382,1185.222513,0.26,0.34,0.12,0.12,0.09,0.04,0.04
Clementine,567,action,22983000,3562,9,395.7777778,0.1,0.49,0.02,0.2,0.11,0.05,0.03
Click,568,comedy,2184174700,364548,161,2264.273292,0.3,0.36,0.09,0.22,0.02,0.01,0
Kick-Ass,569,action,1167536970,153849,221,696.1493213,0.46,0.23,0.04,0.05,0.06,0.15,0.01
Killers,570,action,2428979292,329086,280,1175.307143,0.55,0.13,0.09,0.12,0.04,0.03,0.04
Kingdom Of Heaven,571,action,7815821000,1237245,247,5009.089069,0.22,0.36,0.15,0.13,0.08,0.03,0.02
The King's Speech,572,drama,5963126500,806248,317,2543.369085,0.25,0.4,0.2,0.09,0.02,0,0.03
King Kong,573,drama,21476683172,3470052,319,10877.90596,0.19,0.4,0.11,0.18,0.05,0.02,0.05
Bronze Medalist,574,drama,8597263166,1277800,411,3109.002433,0.22,0.46,0.06,0.22,0.03,0.01,0
Tower,575,drama,37654858000,5181014,617,8397.105348,0.24,0.29,0.15,0.17,0.04,0.02,0.08
Clash Of The Titans,576,action,22143097429,2685508,694,3869.608069,0.31,0.13,0.13,0.25,0.1,0.05,0.04
Wrath Of The Titans,577,action,7591124500,893027,535,1669.209346,0.25,0.18,0.12,0.17,0.2,0.04,0.05
"DasLeben DerAnderen, The Lives Of Others",578,drama,339765000,50607,22,2300.318182,0.13,0.53,0.13,0.14,0.03,0.01,0.04
The War Of Flower,579,drama,36181466700,5685559,492,11556.01423,0.35,0.33,0.08,0.09,0.03,0.04,0.09
Midnight Sun,580,drama,192315000,32156,81,396.9876543,0.16,0.5,0.1,0.19,0.02,0.01,0.01
Typhoon,581,drama,22209675300,3471150,481,7216.528067,0.27,0.19,0.11,0.28,0.09,0.04,0.02
The Terminal,582,drama,6377300000,986903,127,7770.889764,0.32,0.43,0.09,0.12,0.03,0.01,0.01
Taken,583,crime,15971389000,2379830,254,9369.409449,0.41,0.23,0.05,0.06,0.05,0.04,0.16
Taken2,584,action,17581098553,2308596,682,3385.038123,0.31,0.11,0.11,0.18,0.12,0.03,0.13
Pain,585,meloromance,5246996000,700272,317,2209.059937,0.19,0.27,0.11,0.37,0.04,0.02,0.01
The Day After Tomorrow,586,sf,11658584500,1830767,164,11163.21341,0.28,0.29,0.08,0.13,0.04,0.02,0.16
"Deuxfreres, Two Brothers",587,drama,876487000,144859,95,1524.831579,0.25,0.48,0.07,0.14,0.04,0.02,0.01
"My Boss, My Teacher",588,comedy,31959686000,5074314,407,12467.60197,0.46,0.09,0.12,0.16,0.08,0.08,0.01
The Tourist,589,drama,6834421095,915359,439,2085.100228,0.2,0.24,0.29,0.14,0.06,0.01,0.05
Transformers,590,sf,47710604338,7402732,863,8577.904983,0.38,0.33,0.08,0.1,0.05,0.02,0.05
Transformers : Dark Of The Moon,591,action,74841350500,7784807,1409,5525.058197,0.28,0.19,0.19,0.18,0.1,0.04,0.03
Transporter3,592,action,6336730334,951855,266,3578.402256,0.39,0.2,0.07,0.13,0.09,0.07,0.05
Troy,593,historicaldrama,12777346000,2001293,177,11306.74011,0.42,0.3,0.06,0.12,0.06,0.03,0.01
TRON : Legacy,594,sf,4258700247,382607,379,1009.51715,0.3,0.22,0.16,0.17,0.09,0.03,0.04
Twilight,595,action,8796916521,1356180,343,3953.877551,0.46,0.23,0.08,0.1,0.05,0.02,0.05
Special Investigations Unit(S.I.U.),596,action,8096052500,1118258,471,2374.220807,0.24,0.27,0.19,0.1,0.07,0.03,0.09
Penny Pinchers,597,meloromance,2942253500,424002,294,1442.183673,0.52,0.21,0.1,0.1,0.04,0.02,0
Tin Tin : The Secret of the Unicorn,598,family,6737564500,815991,644,1267.06677,0.39,0.18,0.18,0.14,0.05,0.02,0.04
Tinker Tailor Soldier Spy,599,thriller,648304500,87155,187,466.0695187,0.17,0.27,0.17,0.07,0.08,0.03,0.2
Man Of Vendetta,600,drama,7820538614,1030285,190,5422.552632,0.15,0.26,0.08,0.17,0.07,0.09,0.18
Paranormal Activity,601,horror,3265135449,446510,187,2387.754011,0.06,0.13,0.08,0.1,0.04,0.03,0.56
Paranormal Activity2,602,horror,2616761211,364251,177,2057.915254,0.1,0.15,0.08,0.16,0.04,0.03,0.45
The Imaginarium Of Doctor Parnassus,603,fantasy,3364788919,462999,305,1518.029508,0.3,0.14,0.18,0.21,0.12,0.04,0.01
Bleak Night,604,drama,161915200,20885,20,1044.25,0.13,0.34,0.05,0.28,0.09,0.04,0.06
Mr. Popper's Penguins,605,comedy,7049177000,980387,333,2944.105105,0.67,0.19,0.07,0.05,0.01,0.01,0
"ElLaberin to DelFauno, Pan's Labyrinth",606,drama,2788435200,472011,175,2697.205714,0.15,0.18,0.05,0.21,0.05,0.29,0.07
Fantastic Four : Rise Of The Silver Surfer,607,sf,3682710500,576690,307,1878.469055,0.33,0.12,0.16,0.21,0.11,0.05,0.03
The Passion Of The Christ,608,drama,5338827500,841006,66,12742.51515,0.11,0.39,0.02,0.28,0.05,0.12,0.03
Pandorum,609,action,1242613605,163494,189,865.047619,0.19,0.23,0.04,0.07,0.05,0.03,0.38
Public Enemies,610,crime,3424720129,464076,292,1589.30137,0.29,0.25,0.16,0.17,0.07,0.02,0.05
Captain America : The First Avenger,611,action,4163130500,514417,363,1417.126722,0.34,0.15,0.14,0.17,0.12,0.05,0.02
Percy Jackson and Sea of Monsters,612,fantasy,3791349609,519584,409,1270.376528,0.48,0.2,0.07,0.11,0.05,0.02,0.06
Perfect Game,613,drama,11220408500,1507084,413,3649.113801,0.24,0.51,0.06,0.1,0.04,0.01,0.05
A Perfect Getaway,614,thriller,2343962833,315888,226,1397.734513,0.17,0.43,0.11,0.06,0.04,0.03,0.17
Pace Maker,615,drama,3443753000,467697,412,1135.186893,0.17,0.51,0.13,0.15,0.02,0.01,0.01
Fame,616,comedy,4727133460,644163,328,1963.911585,0.41,0.26,0.07,0.14,0.06,0.01,0.03
Battle field Heroes,617,war,12684530500,1717566,451,3808.350333,0.49,0.18,0.1,0.13,0.07,0.03,0.01
Parallel Life,618,thriller,6905140883,937029,272,3444.959559,0.12,0.44,0.1,0.1,0.04,0.02,0.19
The Haunted House Project,619,horror,1611889133,229610,160,1435.0625,0.06,0.13,0.05,0.1,0.05,0.04,0.58
The Forbidden King dom,620,action,7876101835,1221352,394,3099.878173,0.42,0.22,0.11,0.13,0.08,0.02,0.02
Poseidon,621,action,14588094300,2316695,338,6854.127219,0.22,0.15,0.12,0.16,0.03,0.02,0.3
The Fourth Kind,622,sf,1701070326,229014,189,1211.714286,0.11,0.19,0.09,0.1,0.06,0.02,0.44
71 : In to The Fire,623,drama,24217600897,3385706,736,4600.144022,0.22,0.33,0.05,0.29,0.05,0.04,0.03
Hindsight,624,action,5739824500,771699,476,1621.216387,0.34,0.32,0.09,0.15,0.06,0.03,0.02
Push,625,sf,4817364578,726998,258,2817.821705,0.32,0.16,0.15,0.2,0.08,0.03,0.06
Poongsan,626,drama,5395019500,714102,286,2496.86014,0.29,0.27,0.05,0.2,0.1,0.06,0.03
The Prestige,627,thriller,2861257500,458956,119,3856.773109,0.13,0.59,0.09,0.08,0.03,0.01,0.07
"Fly, Daddy, Fly",628,drama,2560456300,431231,220,1960.140909,0.3,0.31,0.1,0.15,0.07,0.06,0.01
Flight plan,629,drama,4347551500,687833,164,4194.103659,0.17,0.27,0.1,0.14,0.03,0.01,0.28
Piranha3D,630,action,5756700191,515074,306,1683.248366,0.18,0.1,0.04,0.1,0.08,0.23,0.26
Piranha3DD,631,horror,646211500,74576,269,277.2342007,0.2,0.09,0.04,0.12,0.08,0.19,0.27
The House maid,632,thriller,17310669976,2304487,577,3993.911612,0.21,0.17,0.09,0.24,0.13,0.07,0.09
Harmony,633,drama,21992266198,3068544,405,7576.651852,0.11,0.37,0.06,0.42,0.02,0.01,0.01
House Of Wax,634,horror,1479334000,227785,85,2679.823529,0.13,0.12,0.04,0.05,0.03,0.18,0.45
Howling,635,crime,11765293500,1612554,550,2931.916364,0.23,0.21,0.12,0.2,0.06,0.05,0.12
Howl's Moving Castle,636,adventure,16489994817,2613717,331,7896.425982,0.44,0.39,0.04,0.09,0.03,0.01,0.01
High School Musical3 : Senior Year,637,comedy,82871663,13217,9,1468.555556,0.5,0.37,0.04,0.06,0.02,0,0.01
Hanbando,638,drama,20597497600,3331593,483,6897.708075,0.26,0.14,0.14,0.22,0.14,0.07,0.03
Trouble shooter,639,action,14063913437,1873327,524,3575.051527,0.4,0.18,0.11,0.12,0.08,0.03,0.08
Harry Potter And The Order Of The Phoenix,640,fantasy,22899775300,3691060,768,4806.067708,0.33,0.14,0.18,0.19,0.1,0.02,0.04
Harry Potter And The Goblet Of Fire,641,fantasy,21464160900,3430975,504,6807.490079,0.39,0.22,0.09,0.17,0.06,0.02,0.05
Harry Potter And The Prisoner Of Azkaban,642,drama,10926141000,1775033,228,7785.232456,0.41,0.28,0.07,0.14,0.05,0.01,0.03
Harry Potter And The Deathly Hallows : Part2,643,fantasy,34507819000,4400298,757,5812.811096,0.25,0.31,0.04,0.26,0.08,0.02,0.04
Sun flower,644,action,7835485400,1305024,246,5304.97561,0.2,0.39,0.09,0.2,0.06,0.03,0.03
Cadaver,645,horror,3627352500,574302,232,2475.439655,0.08,0.15,0.08,0.13,0.04,0.04,0.47
Haeundae,646,action,81934638201,11453338,753,15210.27623,0.31,0.28,0.09,0.23,0.04,0.02,0.04
Hand phone,647,thriller,4271780582,630049,356,1769.800562,0.22,0.17,0.09,0.13,0.09,0.06,0.25
Happiness,648,drama,7737684000,1174495,332,3537.635542,0.24,0.28,0.11,0.28,0.05,0.03,0.01
The Pursuit Of Happyness,649,drama,3645625500,591571,155,3816.587097,0.36,0.35,0.1,0.14,0.03,0,0.01
Perfume : The Story Of A Murderer,650,drama,5843903000,967618,237,4082.776371,0.23,0.35,0.08,0.12,0.05,0.08,0.09
Herb,651,drama,7652767000,1304662,267,4886.374532,0.2,0.36,0.09,0.32,0.02,0.01,0.01
The Hunger Games,652,action,4478418000,607956,514,1182.793774,0.34,0.15,0.13,0.13,0.06,0.07,0.12
Hair spray,653,drama,2078440000,322447,202,1596.272277,0.67,0.15,0.1,0.05,0.02,0,0
Hanse land Gretel,654,drama,1970260500,311539,181,1721.209945,0.2,0.2,0.08,0.2,0.04,0.06,0.22
Hello Ghost,655,comedy,21154651779,2897477,472,6138.722458,0.2,0.46,0.09,0.2,0.02,0.01,0.02
The Help,656,drama,1131348500,155070,163,951.3496933,0.22,0.47,0.08,0.16,0.04,0.01,0.01
Blood Rain,657,thriller,12367924506,1926681,264,7298.034091,0.14,0.2,0.06,0.12,0.04,0.27,0.18
Memories Of Matsuko,658,comedy,152023000,23546,7,3363.714286,0.17,0.38,0.03,0.35,0.03,0.03,0.01
The Duelist,659,meloromance,5848601000,922367,292,3158.791096,0.19,0.31,0.09,0.2,0.14,0.06,0.01
For Horo witz,660,drama,2813074600,462623,206,2245.742718,0.19,0.53,0.09,0.16,0.02,0,0.01
Hostel,661,horror,4985000,713,1,713,0.11,0.09,0.02,0.05,0.1,0.37,0.26
Rise of the Planet of the Apes,662,action,20629757000,2773794,514,5396.486381,0.31,0.29,0.06,0.14,0.06,0.03,0.11
Holiday,663,drama,7883116000,1257399,170,7396.464706,0.16,0.38,0.05,0.27,0.07,0.05,0.02
The Descendants of Hong Gil-dong,664,action,4293061087,616654,380,1622.773684,0.64,0.15,0.06,0.08,0.04,0.02,0.01
May.18.,665,drama,44098621600,6855331,551,12441.61706,0.1,0.2,0.05,0.41,0.09,0.13,0.02
White : The Melody of the Curse,666,horror,5587166000,790954,305,2593.291803,0.11,0.13,0.05,0.11,0.03,0.04,0.54
White Chicks,667,comedy,497486500,79186,53,1494.075472,0.7,0.13,0.05,0.05,0.03,0.02,0.01
Helpless,668,mystery,18459203000,2436400,548,4445.985401,0.22,0.18,0.09,0.2,0.04,0.04,0.22
DarkMaterials:TheGoldenCompass,669,fantasy,18336681000,2906958,492,5908.45122,0.35,0.14,0.15,0.19,0.12,0.02,0.03
Hwang Jin-yi,670,drama,7764369000,1191810,456,2613.618421,0.18,0.32,0.18,0.18,0.11,0.02,0.01
Curse Of The Golden Flower,671,action,5646349700,897678,256,3506.554688,0.21,0.4,0.07,0.17,0.07,0.05,0.03
Vampire Cop Ricky,672,comedy,9693558300,1563579,243,6434.481481,0.51,0.1,0.1,0.18,0.06,0.03,0.01
